"keyword","name","address","city","state","zip","country","phone","phonestring","website","email","time"
"ngo in bangladesh","Bangladesh NGO Foundation","4th Floor, Insurance Academy Bhaban, 53, C/A Bir Uttam AK Khandakar Rd, Dhaka 1212"," Dhaka","","1212","","","","/url?q=http://www.ngofoundation.org.bd/&sa=U&ved=0ahUKEwjnz4qEnsfqAhWVdn0KHSfsDZ8Q61gIGygUMAA&usg=AOvVaw1xC8-8TOXQQK1J1mMiThn3","",""
"ngo in bangladesh","Pathway The Best NGO in Bangladesh","House#01, Road#02, Block# B, Section#06, Dhaka 1216"," Dhaka","","1216","","","","/url?q=https://www.pathwaybd.org/&sa=U&ved=0ahUKEwjnz4qEnsfqAhWVdn0KHSfsDZ8Q61gISCgPMAE&usg=AOvVaw16ozvL9M688uSortPJgFBZ","",""
"ngo in bangladesh","Caritas Bangladesh","1217, 2 Outer Circular Rd, Dhaka 1217"," Dhaka","","1217","","","","/url?q=http://www.caritasbd.org/&sa=U&ved=0ahUKEwjnz4qEnsfqAhWVdn0KHSfsDZ8Q61gIcCgRMAI&usg=AOvVaw3dykrnTKPD0kr3_9r0mdM4","",""
"ngo in bangladesh","DISA, NGO","Rd No. 11, Dhaka 1216"," Dhaka","","1216","","","","/url?q=http://www.disabd.org/&sa=U&ved=0ahUKEwjnz4qEnsfqAhWVdn0KHSfsDZ8Q61gIngEoEDAD&usg=AOvVaw0OwBK091_DIwxIfqaUcNO3","",""
"ngo in bangladesh","NGO Forum","4/6, Block - E, Lalmatia, Dhaka 1207"," Dhaka","","1207","","","","/url?q=http://www.ngof.org/&sa=U&ved=0ahUKEwjnz4qEnsfqAhWVdn0KHSfsDZ8Q61gI0AEoEzAE&usg=AOvVaw1R1fUvN11uxNxixK1mdbmi","",""
"ngo in bangladesh","ActionAid Bangladesh","House SE(C)(Old 9) 5/B (old, 8 Rd 136, Dhaka 1212"," Dhaka","","1212","","","","/url?q=http://www.actionaid.org/&sa=U&ved=0ahUKEwjnz4qEnsfqAhWVdn0KHSfsDZ8Q61gIgAIoEjAF&usg=AOvVaw2_GTRCwM1ozIP1RMPLQDOz","",""
"ngo in bangladesh","Aparajeyo Bangladesh","Plot # 29 & 30, 01 Ave Society Rd, Dhaka 1216"," Dhaka","","1216","","","","/url?q=http://www.aparajeyo.org/&sa=U&ved=0ahUKEwjnz4qEnsfqAhWVdn0KHSfsDZ8Q61gIrwIoETAG&usg=AOvVaw0GATyMLkb9skwsIYHHpFgU","",""
"ngo in bangladesh","Uttaran (NGO)","1st Floor), House, Flat # B1, # 32 Rd 10/A, Dhaka 1209"," Dhaka","","1209","","","","/url?q=http://www.uttaran.net/&sa=U&ved=0ahUKEwjnz4qEnsfqAhWVdn0KHSfsDZ8Q61gI4QIoFDAH&usg=AOvVaw1tzMQECFPssI0Fm-1sKfQ2","",""
"ngo in bangladesh","BRAC (NGO)","Narail-Lohagara Road, Lohagara"," Lohagara","","","","","","","",""
"ngo in bangladesh","Bangladesh Association for Social Advancement BASA","# 01, No. # 42, Priyanka Runway City Uttara Dhaka Road No. # 01, House, রোড নং: ১৮, Dhaka 1230"," Dhaka","","1230","","","","/url?q=http://www.basango.org/&sa=U&ved=0ahUKEwjnz4qEnsfqAhWVdn0KHSfsDZ8Q61gIsAMoEzAJ&usg=AOvVaw1paDwUUYefx04axuDJr2Jm","",""
"ngo in bangladesh","BRAC NGO Branch Office","Lokkhi Pur Rd"," Sadullapur","","","","","","/url?q=http://www.brac.net/&sa=U&ved=0ahUKEwjnz4qEnsfqAhWVdn0KHSfsDZ8Q61gI2wMoDTAK&usg=AOvVaw07Fhm9mxgpRvbhw6miD_zr","",""
"ngo in bangladesh","Mati Head Office","67/1 Sankipara, Mymensingh, Bangladesh, S A Sarker Rd, Mymensingh 2200"," Mymensingh","","2200","","","","/url?q=http://matibangladesh.org/&sa=U&ved=0ahUKEwjnz4qEnsfqAhWVdn0KHSfsDZ8Q61gIgQQoETAL&usg=AOvVaw14fFRL5-nAN10FcPhMhcFt","",""
"ngo in bangladesh","NGO Forum For Public Health","Bogura"," Bogura","","","","","","/url?q=http://www.ngof.org/&sa=U&ved=0ahUKEwjnz4qEnsfqAhWVdn0KHSfsDZ8Q61gIrAQoDjAM&usg=AOvVaw3aHmGCLeiWiTTucA5YOfey","",""
"ngo in bangladesh","NGO Forum For Public Health Rajshahi Office","316, Rajshahi 6000"," Rajshahi","","6000","","","","/url?q=http://www.ngof.org/&sa=U&ved=0ahUKEwjnz4qEnsfqAhWVdn0KHSfsDZ8Q61gI0QQoEDAN&usg=AOvVaw2a6qi_51DxkconrT8L0o9Z","",""
"ngo in bangladesh","Usaid-DFID NGO Health Service Delivery Project","5/11, Block- D, Lalmatia, Dhaka 1207"," Dhaka","","1207","","","","/url?q=https://www.usaid.gov/bangladesh&sa=U&ved=0ahUKEwjnz4qEnsfqAhWVdn0KHSfsDZ8Q61gI9gQoDTAO&usg=AOvVaw0lp4tn_NuQLnxyf5-Ko9pu","",""
"ngo in bangladesh","PULSE Bangladesh","Opposite BGB Camp, BGB Main Road, BGB Camp Rd, Cox's Bazar 4700"," Cox's Bazar","","4700","","","","/url?q=http://www.pulsebd.org/&sa=U&ved=0ahUKEwjnz4qEnsfqAhWVdn0KHSfsDZ8Q61gIlQUoETAP&usg=AOvVaw3Dg7ZmL4LTrwu6gp0NuJEF","",""
"ngo in bangladesh","BURO Bangladesh","Rd 104, Dhaka 1212"," Dhaka","","1212","","","","/url?q=http://www.burobd.org/&sa=U&ved=0ahUKEwjnz4qEnsfqAhWVdn0KHSfsDZ8Q61gIwwUoEDAQ&usg=AOvVaw1GG2Hly3Up5Mnz5XcU7hjR","",""
"ngo in bangladesh","CEDAR NGO","768 Satmasjid Road, Dhaka 1209"," Dhaka","","1209","","","","/url?q=http://cedar-bd.org/&sa=U&ved=0ahUKEwjnz4qEnsfqAhWVdn0KHSfsDZ8Q61gI8QUoEDAR&usg=AOvVaw28mQ6jgyMbbBbswNSYZYVY","",""
"ngo in bangladesh","Bangladesh Association For Social Advancement (BASA)","K/172/4-A, Khilkhet Battola, Dhaka 1229"," Dhaka","","1229","","","","/url?q=http://www.basango.org/&sa=U&ved=0ahUKEwjnz4qEnsfqAhWVdn0KHSfsDZ8Q61gImgYoETAS&usg=AOvVaw2J2SYEI88p54d--0pFGLY0","",""
"ngo in bangladesh","Concern Worldwide Bangladesh","Road 7, Gulshan -1, Dhaka 1212"," Dhaka","","1212","","","","/url?q=http://www.concern.net/where-we-work/asia/bangladesh&sa=U&ved=0ahUKEwjnz4qEnsfqAhWVdn0KHSfsDZ8Q61gIwQYoDzAT&usg=AOvVaw0Qxp2aHCNXzrD_lLT4N0p9","",""
"ngo in bangladesh","UKBET","House No: 08(1st floor), Main Road, Block: C, Shahjalal Uposhahar, Opposite to South East Bank Ltd, Sylhet 3100"," Sylhet","","3100","","","","/url?q=http://www.ukbet-bd.org/&sa=U&ved=0ahUKEwi-n7SHnsfqAhVJAXIKHeKhDeYQ61gIGCgRMAA&usg=AOvVaw30nHWSXSQ8Fjk_L-4Oqvbe","",""
"ngo in bangladesh","Family Planning Association, NGO","2 Mosque Rd, Dhaka 1000"," Dhaka","","1000","","","","/url?q=http://www.fpab.org.bd/&sa=U&ved=0ahUKEwi-n7SHnsfqAhVJAXIKHeKhDeYQ61gIRigQMAE&usg=AOvVaw39_uqfhY3X6Msz0LriD9le","",""
